sourceDomainId	actions	targetDomainId	databases	type	drugbankId	uniprotId
drugbank.DB03701		6531	DrugBank	DrugHasTarget	DB03701	Q01959
drugbank.DB03702		1990	DrugBank	DrugHasTarget	DB03702	Q9UNI1
drugbank.DB03703		125	DrugBank	DrugHasTarget	DB03703	P00325
drugbank.DB03704		128	DrugBank	DrugHasTarget	DB03704	P11766
drugbank.DB03705			DrugBank	DrugHasTarget	DB03705	Q81VW8
drugbank.DB03706		2948	DrugBank	DrugHasTarget	DB03706	Q03013
drugbank.DB03707		4846	DrugBank	DrugHasTarget	DB03707	P29474
drugbank.DB03707		4842	DrugBank	DrugHasTarget	DB03707	P29475
drugbank.DB03708			DrugBank	DrugHasTarget	DB03708	Q5SKH7
drugbank.DB03708		9061	DrugBank	DrugHasTarget	DB03708	O43252
drugbank.DB03709			DrugBank	DrugHasTarget	DB03709	P9WIQ1
drugbank.DB03709		5340	DrugBank	DrugHasTarget	DB03709	P00747
drugbank.DB03709			DrugBank	DrugHasTarget	DB03709	P41052
drugbank.DB03710		4842	DrugBank	DrugHasTarget	DB03710	P29475
drugbank.DB03711		392399	DrugBank	DrugHasTarget	DB03711	Q8WX39
drugbank.DB03712		6714	DrugBank	DrugHasTarget	DB03712	P12931
drugbank.DB03714		5770	DrugBank	DrugHasTarget	DB03714	P18031
drugbank.DB03716			DrugBank	DrugHasTarget	DB03716	Q70GK9
drugbank.DB03717			DrugBank	DrugHasTarget	DB03717	P07986
drugbank.DB03719		7184	DrugBank	DrugHasTarget	DB03719	P14625
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P42216
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	Q64822
drugbank.DB03721		6614	DrugBank	DrugHasTarget	DB03721	Q9BZZ2
drugbank.DB03721		563	DrugBank	DrugHasTarget	DB03721	P25311
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P49302
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	Q64823
drugbank.DB03721		1066	DrugBank	DrugHasTarget	DB03721	P23141
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P04958
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P01556
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P10844
drugbank.DB03721		6403	DrugBank	DrugHasTarget	DB03721	P16109
drugbank.DB03721		4153	DrugBank	DrugHasTarget	DB03721	P11226
drugbank.DB03721		6401	DrugBank	DrugHasTarget	DB03721	P16581
drugbank.DB03721		5967	DrugBank	DrugHasTarget	DB03721	P05451
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	Q04830
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P01552
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P03472
drugbank.DB03721			DrugBank	DrugHasTarget	DB03721	P32884
drugbank.DB03722		142	DrugBank	DrugHasTarget	DB03722	P09874
drugbank.DB03723			DrugBank	DrugHasTarget	DB03723	Q9HU22
drugbank.DB03723			DrugBank	DrugHasTarget	DB03723	P26392
drugbank.DB03725		5105	DrugBank	DrugHasTarget	DB03725	P35558
drugbank.DB03726		6035	DrugBank	DrugHasTarget	DB03726	P07998
drugbank.DB03727		7389	DrugBank	DrugHasTarget	DB03727	P06132
drugbank.DB03728			DrugBank	DrugHasTarget	DB03728	Q8GN86
drugbank.DB03729		5328	DrugBank	DrugHasTarget	DB03729	P00749
drugbank.DB03730			DrugBank	DrugHasTarget	DB03730	O25323
drugbank.DB03731		383	DrugBank	DrugHasTarget	DB03731	P05089
drugbank.DB03731		384	DrugBank	DrugHasTarget	DB03731	P78540
drugbank.DB03732		683	DrugBank	DrugHasTarget	DB03732	Q10588
drugbank.DB03733			DrugBank	DrugHasTarget	DB03733	P51698
drugbank.DB03734			DrugBank	DrugHasTarget	DB03734	P0AES2
drugbank.DB03735			DrugBank	DrugHasTarget	DB03735	P0ABP8
drugbank.DB03736		5972	DrugBank	DrugHasTarget	DB03736	P00797
drugbank.DB03737		1017	DrugBank	DrugHasTarget	DB03737	P24941
drugbank.DB03738		60490	DrugBank	DrugHasTarget	DB03738	Q96CD2
drugbank.DB03739			DrugBank	DrugHasTarget	DB03739	P9WPX7
drugbank.DB03740			DrugBank	DrugHasTarget	DB03740	Q9HYN5
drugbank.DB03740			DrugBank	DrugHasTarget	DB03740	P05884
drugbank.DB03740		3500	DrugBank	DrugHasTarget	DB03740	P01857
drugbank.DB03740		1636	DrugBank	DrugHasTarget	DB03740	P12821
drugbank.DB03740		43	DrugBank	DrugHasTarget	DB03740	P22303
drugbank.DB03740		GBA	DrugBank	DrugHasTarget	DB03740	P04062
drugbank.DB03740			DrugBank	DrugHasTarget	DB03740	O34928
drugbank.DB03740		27036	DrugBank	DrugHasTarget	DB03740	Q9Y286
drugbank.DB03740			DrugBank	DrugHasTarget	DB03740	P32884
drugbank.DB03741			DrugBank	DrugHasTarget	DB03741	P96965
drugbank.DB03742		2099	DrugBank	DrugHasTarget	DB03742	P03372
drugbank.DB03745			DrugBank	DrugHasTarget	DB03745	O66496
drugbank.DB03745			DrugBank	DrugHasTarget	DB03745	Q5SIR5
drugbank.DB03746			DrugBank	DrugHasTarget	DB03746	P24670
drugbank.DB03747			DrugBank	DrugHasTarget	DB03747	O85361
drugbank.DB03747		3074	DrugBank	DrugHasTarget	DB03747	P07686
drugbank.DB03748			DrugBank	DrugHasTarget	DB03748	P33247
drugbank.DB03749		3320	DrugBank	DrugHasTarget	DB03749	P07900
drugbank.DB03750			DrugBank	DrugHasTarget	DB03750	P96965
drugbank.DB03750			DrugBank	DrugHasTarget	DB03750	P00509
drugbank.DB03750			DrugBank	DrugHasTarget	DB03750	P42790
drugbank.DB03751			DrugBank	DrugHasTarget	DB03751	Q8GIQ0
drugbank.DB03751			DrugBank	DrugHasTarget	DB03751	P95780
drugbank.DB03751			DrugBank	DrugHasTarget	DB03751	Q9HU22
drugbank.DB03751			DrugBank	DrugHasTarget	DB03751	Q9ZGH3
drugbank.DB03751			DrugBank	DrugHasTarget	DB03751	P26391
drugbank.DB03752		5742	DrugBank	DrugHasTarget	DB03752	P23219
drugbank.DB03753		5742	DrugBank	DrugHasTarget	DB03753	P23219
drugbank.DB03754	inhibitor	351	DrugBank	DrugHasTarget	DB03754	P05067
drugbank.DB03755			DrugBank	DrugHasTarget	DB03755	P15925
drugbank.DB03756	ligand	5465	DrugBank	DrugHasTarget	DB03756	Q07869
drugbank.DB03756	ligand	5468	DrugBank	DrugHasTarget	DB03756	P37231
drugbank.DB03756	activator	6256	DrugBank	DrugHasTarget	DB03756	P19793
drugbank.DB03756	activator	6257	DrugBank	DrugHasTarget	DB03756	P28702
drugbank.DB03756	activator	6258	DrugBank	DrugHasTarget	DB03756	P48443
drugbank.DB03756	inhibitor	6720	DrugBank	DrugHasTarget	DB03756	P36956
drugbank.DB03757		1990	DrugBank	DrugHasTarget	DB03757	Q9UNI1
drugbank.DB03758		3326	DrugBank	DrugHasTarget	DB03758	P08238
drugbank.DB03758		7184	DrugBank	DrugHasTarget	DB03758	P14625
drugbank.DB03758		1737	DrugBank	DrugHasTarget	DB03758	P10515
drugbank.DB03758		5165	DrugBank	DrugHasTarget	DB03758	Q15120
drugbank.DB03758			DrugBank	DrugHasTarget	DB03758	P0DM80
drugbank.DB03759		2891	DrugBank	DrugHasTarget	DB03759	P42262
drugbank.DB03760			DrugBank	DrugHasTarget	DB03760	Q9WY54
drugbank.DB03760		2653	DrugBank	DrugHasTarget	DB03760	P23434
drugbank.DB03760		1737	DrugBank	DrugHasTarget	DB03760	P10515
drugbank.DB03760		5165	DrugBank	DrugHasTarget	DB03760	Q15120
drugbank.DB03761			DrugBank	DrugHasTarget	DB03761	P0CI79
drugbank.DB03761			DrugBank	DrugHasTarget	DB03761	P0A884
drugbank.DB03761			DrugBank	DrugHasTarget	DB03761	P00469
drugbank.DB03761			DrugBank	DrugHasTarget	DB03761	Q9WYT0
drugbank.DB03763			DrugBank	DrugHasTarget	DB03763	Q9R5V5
drugbank.DB03765		6035	DrugBank	DrugHasTarget	DB03765	P07998
drugbank.DB03766			DrugBank	DrugHasTarget	DB03766	P10724
drugbank.DB03766		10243	DrugBank	DrugHasTarget	DB03766	Q9NQX3
drugbank.DB03766			DrugBank	DrugHasTarget	DB03766	P96965
drugbank.DB03767		1520	DrugBank	DrugHasTarget	DB03767	P25774
drugbank.DB03768			DrugBank	DrugHasTarget	DB03768	P03369
drugbank.DB03769		191	DrugBank	DrugHasTarget	DB03769	P23526
drugbank.DB03771			DrugBank	DrugHasTarget	DB03771	P33247
drugbank.DB03772		28	DrugBank	DrugHasTarget	DB03772	P16442
drugbank.DB03773		279	DrugBank	DrugHasTarget	DB03773	P04746
drugbank.DB03773			DrugBank	DrugHasTarget	DB03773	P30920
drugbank.DB03773			DrugBank	DrugHasTarget	DB03773	P00692
drugbank.DB03773			DrugBank	DrugHasTarget	DB03773	Q9ZB17
drugbank.DB03773			DrugBank	DrugHasTarget	DB03773	P26827
drugbank.DB03775			DrugBank	DrugHasTarget	DB03775	P12996
drugbank.DB03775			DrugBank	DrugHasTarget	DB03775	P13000
drugbank.DB03775			DrugBank	DrugHasTarget	DB03775	P9WPQ5
drugbank.DB03777		5292	DrugBank	DrugHasTarget	DB03777	P11309
drugbank.DB03777		5170	DrugBank	DrugHasTarget	DB03777	O15530
drugbank.DB03777		5584	DrugBank	DrugHasTarget	DB03777	P41743
drugbank.DB03779			DrugBank	DrugHasTarget	DB03779	P14262
drugbank.DB03780			DrugBank	DrugHasTarget	DB03780	P28720
drugbank.DB03781		32	DrugBank	DrugHasTarget	DB03781	O00763
drugbank.DB03782		5328	DrugBank	DrugHasTarget	DB03782	P00749
drugbank.DB03784		5320	DrugBank	DrugHasTarget	DB03784	P14555
drugbank.DB03785			DrugBank	DrugHasTarget	DB03785	P13702
drugbank.DB03787			DrugBank	DrugHasTarget	DB03787	P16932
drugbank.DB03788		7068	DrugBank	DrugHasTarget	DB03788	P10828
drugbank.DB03790			DrugBank	DrugHasTarget	DB03790	P42321
drugbank.DB03791		7376	DrugBank	DrugHasTarget	DB03791	P55055
drugbank.DB03792		6035	DrugBank	DrugHasTarget	DB03792	P07998
drugbank.DB03793	substrate		DrugBank	DrugHasTarget	DB03793	O67987
drugbank.DB03793			DrugBank	DrugHasTarget	DB03793	P96965
drugbank.DB03793			DrugBank	DrugHasTarget	DB03793	O31168
drugbank.DB03793			DrugBank	DrugHasTarget	DB03793	Q01234
drugbank.DB03793			DrugBank	DrugHasTarget	DB03793	Q5PXQ6
drugbank.DB03793			DrugBank	DrugHasTarget	DB03793	Q52546
drugbank.DB03793	product of		DrugBank	DrugHasTarget	DB03793	Q9L9D7
drugbank.DB03793		6564	DrugBank	DrugHasTarget	DB03793	P46059
drugbank.DB03795			DrugBank	DrugHasTarget	DB03795	P31057
drugbank.DB03796		5047	DrugBank	DrugHasTarget	DB03796	P09466
drugbank.DB03796		3174	DrugBank	DrugHasTarget	DB03796	Q14541
drugbank.DB03796			DrugBank	DrugHasTarget	DB03796	P83812
drugbank.DB03796		1558	DrugBank	DrugHasTarget	DB03796	P10632
drugbank.DB03796		27095	DrugBank	DrugHasTarget	DB03796	O43617
drugbank.DB03796			DrugBank	DrugHasTarget	DB03796	Q9X1H9
drugbank.DB03796		6010	DrugBank	DrugHasTarget	DB03796	P08100
drugbank.DB03796		5538	DrugBank	DrugHasTarget	DB03796	P50897
drugbank.DB03796		5375	DrugBank	DrugHasTarget	DB03796	P02689
drugbank.DB03796		3906	DrugBank	DrugHasTarget	DB03796	P00709
drugbank.DB03796		5465	DrugBank	DrugHasTarget	DB03796	Q07869
drugbank.DB03798			DrugBank	DrugHasTarget	DB03798	P08773
drugbank.DB03798			DrugBank	DrugHasTarget	DB03798	P00469
drugbank.DB03799			DrugBank	DrugHasTarget	DB03799	P0AE18
drugbank.DB03799			DrugBank	DrugHasTarget	DB03799	P00959
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	P13100
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	P06968
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	P00469
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	P0A884
drugbank.DB03800		7298	DrugBank	DrugHasTarget	DB03800	P04818
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	Q9WYT0
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	P16088
drugbank.DB03800			DrugBank	DrugHasTarget	DB03800	P9WNS5
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	Q8VTT5
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P13661
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P81006
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	Q45515
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	Q70AC7
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P39377
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P0A1V8
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	Q9HTQ2
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	O25323
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	Q7SIE9
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	Q9WYE2
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P14489
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P14900
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P10724
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P22188
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P0A433
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P15925
drugbank.DB03801			DrugBank	DrugHasTarget	DB03801	P05020
drugbank.DB03801		1017	DrugBank	DrugHasTarget	DB03801	P24941
drugbank.DB03802		2099	DrugBank	DrugHasTarget	DB03802	P03372
drugbank.DB03803			DrugBank	DrugHasTarget	DB03803	P03366
drugbank.DB03804			DrugBank	DrugHasTarget	DB03804	P03176
drugbank.DB03807		5142	DrugBank	DrugHasTarget	DB03807	Q07343
drugbank.DB03808			DrugBank	DrugHasTarget	DB03808	P0A0N5
drugbank.DB03808			DrugBank	DrugHasTarget	DB03808	P0A0N4
drugbank.DB03809		3320	DrugBank	DrugHasTarget	DB03809	P07900
drugbank.DB03811			DrugBank	DrugHasTarget	DB03811	P06988
drugbank.DB03811			DrugBank	DrugHasTarget	DB03811	P60906
drugbank.DB03812			DrugBank	DrugHasTarget	DB03812	P9WHE9
drugbank.DB03813			DrugBank	DrugHasTarget	DB03813	P0A6Q5
drugbank.DB03813			DrugBank	DrugHasTarget	DB03813	P0A6Q3
drugbank.DB03814		43	DrugBank	DrugHasTarget	DB03814	P22303
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P17169
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P22906
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P25006
drugbank.DB03814		3290	DrugBank	DrugHasTarget	DB03814	P28845
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P0ACC7
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	Q01770
drugbank.DB03814			DrugBank	DrugHasTarget	DB03814	P00861
